CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance
11041,325,Amanda,Carter,1999-10-13,M,F,60000.00,0,Partial College,Skilled Manual,1,2,1-2 Miles
11042,338,Megan,Sanchez,1982-03-12,M,F,70000.00,0,Partial College,Skilled Manual,1,2,0-1 Miles
11043,325,Nathan,Simmons,1965-02-27,M,M,60000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11044,25,Adam,Flores,1988-03-01,M,M,20000.00,1,Partial High School,Clerical,1,2,1-2 Miles
11045,8,Leonard,Nara,1978-06-20,S,M,30000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11046,6,Christine,Yuan,1988-10-30,M,F,30000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11047,34,Jaclyn,Lu,1994-12-28,M,F,30000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11048,39,Jeremy,Powell,1989-05-09,M,M,30000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11049,307,Carol,Rai,1997-04-17,S,F,40000.00,0,Partial High School,Clerical,1,2,5-10 Miles
11050,31,Alan,Zheng,1991-02-12,M,M,30000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11051,21,Daniel,Johnson,1991-08-25,S,M,30000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11052,8,Heidi,Lopez,1982-02-25,S,F,40000.00,0,Partial College,Clerical,0,2,5-10 Miles
11053,359,Ana,Price,1989-11-11,M,F,60000.00,0,Partial College,Skilled Manual,0,2,1-2 Miles
11054,34,Deanna,Munoz,1994-10-22,M,F,40000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11055,22,Gilbert,Raje,1979-05-30,M,M,40000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11056,10,Michele,Nath,1976-11-07,M,F,40000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11057,5,Carl,Andersen,1980-01-19,M,M,70000.00,0,Graduate Degree,Management,1,2,1-2 Miles
11058,29,Marc,Diaz,1999-01-01,M,M,80000.00,0,Partial College,Skilled Manual,1,2,1-2 Miles
11059,27,Ashlee,Andersen,1993-07-18,S,F,80000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11060,40,Jon,Zhou,1992-10-16,M,M,80000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11061,23,Todd,Gao,1998-04-15,M,M,80000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11062,547,Noah,Powell,1986-03-06,M,M,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11063,634,Angela,Murphy,1965-01-19,S,F,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11064,315,Chase,Reed,1963-09-18,M,M,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11065,331,Jessica,Henderson,1972-02-12,M,F,60000.00,0,Partial College,Skilled Manual,0,2,1-2 Miles
11066,543,Grace,Butler,1985-05-02,M,F,70000.00,0,Partial College,Professional,1,2,5-10 Miles
11067,632,Caleb,Carter,1975-04-02,S,M,60000.00,0,Partial College,Professional,1,2,5-10 Miles
11068,40,Tiffany,Liang,1963-08-17,S,F,80000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11069,23,Carolyn,Navarro,1988-11-30,S,F,80000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11070,39,Willie,Raji,1987-08-27,M,M,80000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11071,24,Linda,Serrano,1986-10-30,S,F,80000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11072,17,Casey,Luo,1974-12-21,S,F,80000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11073,16,Amy,Ye,1966-05-10,S,F,70000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11074,28,Levi,Arun,1962-01-01,S,M,70000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11075,32,Felicia,Jimenez,1968-11-21,S,F,80000.00,0,High School,Professional,1,2,5-10 Miles
11076,19,Blake,Anderson,1987-12-15,S,M,80000.00,0,High School,Professional,1,2,5-10 Miles
11077,36,Leah,Ye,1980-01-06,S,F,80000.00,0,High School,Professional,0,2,1-2 Miles
11078,49,Gina,Martin,1968-09-17,S,F,40000.00,0,High School,Professional,0,2,1-2 Miles
11079,34,Donald,Gonzalez,1972-01-05,S,M,160000.00,0,Graduate Degree,Management,1,2,0-1 Miles
11080,30,Damien,Chander,1994-03-30,M,M,170000.00,0,Graduate Degree,Management,1,2,0-1 Miles
11081,311,Savannah,Baker,1978-03-26,M,F,120000.00,2,Bachelors,Management,1,3,2-5 Miles
11082,322,Angela,Butler,1976-09-29,S,F,130000.00,1,Graduate Degree,Management,0,3,1-2 Miles
11083,336,Alyssa,Cox,1996-11-08,M,F,130000.00,1,Graduate Degree,Management,1,3,1-2 Miles
11084,543,Lucas,Phillips,1975-10-23,S,M,80000.00,0,Partial High School,Skilled Manual,0,2,1-2 Miles
11085,345,Emily,Johnson,1963-03-01,S,F,60000.00,0,High School,Professional,0,2,5-10 Miles
11086,369,Ryan,Brown,1987-06-26,M,M,70000.00,1,Partial College,Professional,1,0,0-1 Miles
11087,307,Tamara,Liang,1968-06-21,M,F,70000.00,2,Partial College,Professional,0,0,0-1 Miles
11088,359,Hunter,Davis,1987-12-08,M,M,80000.00,1,Bachelors,Management,1,0,2-5 Miles
11089,337,Abigail,Price,1961-12-08,S,F,80000.00,1,Bachelors,Management,1,1,2-5 Miles
11090,338,Trevor,Bryant,1988-05-13,S,M,90000.00,0,Partial College,Professional,1,1,2-5 Miles
11091,50,Dalton,Perez,1988-10-21,M,M,90000.00,0,Partial College,Professional,1,1,5-10 Miles
11092,22,Cheryl,Diaz,1985-01-31,M,F,90000.00,2,Bachelors,Professional,1,0,1-2 Miles
11093,19,Aimee,He,1977-12-03,M,F,100000.00,0,Graduate Degree,Management,1,0,0-1 Miles
11094,33,Cedric,Ma,1987-08-09,S,M,70000.00,0,Partial College,Skilled Manual,0,1,0-1 Miles
11095,13,Chad,Kumar,1990-09-29,S,M,70000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11096,12,Andrés,Anand,1981-03-03,M,M,60000.00,0,Bachelors,Professional,1,1,5-10 Miles
11097,40,Edwin,Nara,1971-12-18,M,M,60000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11098,14,Mallory,Rubio,1983-02-15,S,F,60000.00,0,Partial College,Skilled Manual,0,1,0-1 Miles
11099,13,Adam,Ross,1968-01-05,M,M,60000.00,0,Bachelors,Professional,1,1,0-1 Miles
11100,28,Latasha,Navarro,1994-06-20,S,F,60000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11101,33,Abby,Sai,1976-12-06,S,F,70000.00,0,Bachelors,Professional,0,1,0-1 Miles
11102,18,Julia,Nelson,1990-03-09,S,F,80000.00,5,Bachelors,Professional,1,4,1-2 Miles
11103,3,Cassie,Chande,1987-03-28,S,F,70000.00,0,Bachelors,Professional,1,1,5-10 Miles
11104,23,Edgar,Sara,1974-02-03,M,M,70000.00,0,Bachelors,Professional,0,1,0-1 Miles
11105,8,Candace,Fernandez,1962-08-01,S,F,70000.00,0,Bachelors,Professional,0,1,5-10 Miles
11106,40,Jessie,Liu,1970-02-19,S,M,70000.00,0,Bachelors,Professional,0,1,5-10 Miles
11107,17,Bianca,Lin,1975-03-27,M,F,90000.00,0,Bachelors,Professional,1,1,5-10 Miles
11108,13,Kari,Alvarez,1962-05-26,S,F,70000.00,0,Bachelors,Professional,0,2,0-1 Miles
11109,38,Ruben,Kapoor,1997-12-25,S,M,70000.00,0,Bachelors,Professional,0,2,0-1 Miles
11110,3,Curtis,Yang,1990-06-21,M,M,60000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11111,34,Meredith,Gutierrez,1975-03-14,M,F,60000.00,0,Partial College,Skilled Manual,1,1,0-1 Miles
11112,25,Crystal,Wang,1975-05-02,M,F,60000.00,0,Partial College,Skilled Manual,1,1,0-1 Miles
11113,30,Micheal,Blanco,1982-10-04,M,M,70000.00,4,Bachelors,Professional,1,2,5-10 Miles
11114,14,Leslie,Moreno,1996-10-18,S,F,70000.00,4,Partial College,Skilled Manual,1,2,5-10 Miles
11115,17,Alvin,Cai,1973-09-22,M,M,70000.00,4,Partial College,Skilled Manual,1,2,0-1 Miles
11116,18,Clinton,Carlson,1983-01-23,M,M,70000.00,4,Partial College,Skilled Manual,1,2,5-10 Miles
11117,8,April,Deng,1982-02-15,M,F,70000.00,4,Partial College,Skilled Manual,1,3,10+ Miles
11118,6,Alvin,Zeng,1960-03-09,S,M,80000.00,0,Partial College,Skilled Manual,0,1,0-1 Miles
11119,13,Evan,James,1966-06-22,S,M,30000.00,0,Partial College,Clerical,0,2,0-1 Miles
11120,18,Beth,Jiménez,1987-01-08,S,F,40000.00,0,Bachelors,Management,1,1,5-10 Miles
11121,10,Orlando,Suarez,1963-11-18,M,M,70000.00,4,Partial College,Skilled Manual,1,3,10+ Miles
11122,12,Byron,Vazquez,1996-11-12,M,M,70000.00,4,Partial College,Skilled Manual,1,3,5-10 Miles
11123,39,Philip,Alvarez,1978-10-29,M,M,70000.00,4,Partial College,Skilled Manual,1,3,10+ Miles
11124,40,Ross,Jordan,1977-06-29,S,M,80000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11125,37,Dana,Navarro,1999-03-29,S,F,70000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11126,11,Shaun,Carson,1976-06-27,M,M,10000.00,1,High School,Skilled Manual,0,2,0-1 Miles
11127,361,Jan,Edwards,1996-02-21,M,F,40000.00,0,High School,Skilled Manual,1,1,5-10 Miles
11128,635,Samantha,Long,1963-04-17,M,F,40000.00,0,High School,Skilled Manual,1,1,5-10 Miles
11129,638,Julia,Wright,1991-01-22,S,F,40000.00,0,High School,Skilled Manual,1,1,5-10 Miles
11130,543,Caroline,Russell,1984-04-29,M,F,30000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11131,50,Amanda,Rivera,1986-10-05,M,F,30000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11132,51,Melissa,Richardson,1998-08-30,S,F,30000.00,0,High School,Skilled Manual,0,2,5-10 Miles
11133,542,Angela,Griffin,1961-04-03,S,F,30000.00,0,Partial High School,Clerical,0,2,0-1 Miles
11134,30,Larry,Townsend,1984-11-13,S,M,10000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11135,302,Marcus,Harris,1999-07-05,S,M,30000.00,0,Partial High School,Clerical,0,2,5-10 Miles
11136,53,Brianna,Morgan,1960-05-22,S,F,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11137,641,Jasmine,Taylor,1994-03-30,M,F,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11138,325,Lauren,Davis,1995-12-01,M,F,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11139,28,Tanya,Moreno,1977-09-12,S,F,30000.00,0,Partial College,Clerical,0,2,5-10 Miles
11140,301,Javier,Alvarez,1980-04-27,S,M,30000.00,0,Partial High School,Clerical,0,2,5-10 Miles
11141,314,Nicole,Ramirez,1965-02-10,M,F,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11142,51,Eduardo,Patterson,1982-06-04,S,M,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11143,334,Jonathan,Henderson,1985-12-18,M,M,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11144,607,Edward,Hernandez,1984-06-18,S,M,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11145,536,Jasmine,Coleman,1960-10-28,S,F,40000.00,0,High School,Skilled Manual,0,2,0-1 Miles
11146,8,Karla,Goel,1996-09-18,S,F,40000.00,0,Bachelors,Management,1,2,5-10 Miles
11147,40,Ernest,Wu,1975-01-14,M,M,60000.00,0,Graduate Degree,Management,1,1,0-1 Miles
11148,22,Ross,Vazquez,1990-08-11,M,M,40000.00,0,Bachelors,Management,1,2,5-10 Miles
11149,25,Theodore,Gill,1989-04-15,M,M,40000.00,0,Bachelors,Management,1,2,0-1 Miles
11150,39,Russell,Shen,1975-05-14,S,M,40000.00,0,Bachelors,Management,1,2,5-10 Miles
11151,18,Melinda,Gill,1973-01-03,S,F,60000.00,0,Graduate Degree,Management,0,1,0-1 Miles
11152,633,James,Williams,1984-09-18,S,M,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11153,635,Angela,James,1971-02-28,M,F,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11154,553,Megan,Walker,1990-12-06,S,F,40000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11155,301,Hunter,Robinson,1986-05-17,S,M,40000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11156,334,Maria,Roberts,1994-10-13,S,F,40000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11157,642,Hannah,Long,1979-12-22,M,F,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11158,361,Jason,Wright,1965-08-29,S,M,40000.00,0,High School,Skilled Manual,1,2,5-10 Miles
11159,385,Brianna,Hughes,1964-06-16,S,F,40000.00,0,High School,Skilled Manual,0,2,1-2 Miles
11160,311,Maurice,Tang,1962-12-12,S,M,40000.00,0,Partial College,Skilled Manual,0,1,5-10 Miles
11161,311,Emily,Wood,1964-02-19,S,F,40000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11162,331,Chase,Cox,1986-01-13,S,M,40000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11163,372,Gabriel,Wang,1964-05-27,M,M,40000.00,0,Partial College,Skilled Manual,1,1,5-10 Miles
11164,374,Devin,Brooks,1989-07-05,S,M,40000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11165,348,Jocelyn,Alexander,1979-12-09,M,F,60000.00,0,Partial College,Skilled Manual,0,1,1-2 Miles
11166,631,Ashley,Martinez,1978-12-01,S,F,70000.00,0,Partial College,Skilled Manual,0,2,0-1 Miles
11167,618,Jasmine,Barnes,1965-04-09,S,F,80000.00,0,Bachelors,Management,0,1,0-1 Miles
11168,348,David,Rodriguez,1992-03-19,S,M,80000.00,0,Bachelors,Management,0,1,0-1 Miles
11169,312,Bryce,Richardson,1977-08-04,M,M,90000.00,4,Bachelors,Management,1,1,0-1 Miles
11170,612,Carol,Howard,1982-07-09,M,F,90000.00,4,Bachelors,Management,1,1,0-1 Miles
11171,385,Jonathan,Hill,1985-07-03,S,M,100000.00,0,Bachelors,Management,1,2,1-2 Miles
11172,626,Gabrielle,Adams,1990-09-15,M,F,100000.00,0,Bachelors,Management,1,2,1-2 Miles
11173,552,Sarah,Thomas,1987-04-04,S,F,110000.00,0,Graduate Degree,Management,0,4,0-1 Miles
11174,338,Nicholas,Robinson,1977-04-26,M,M,110000.00,1,Graduate Degree,Management,1,0,2-5 Miles
11175,300,Luis,Wang,1970-02-05,S,M,70000.00,0,Partial College,Skilled Manual,1,2,5-10 Miles
11176,50,Mason,Roberts,1978-03-14,M,M,90000.00,4,Bachelors,Management,1,1,1-2 Miles
11177,359,Jose,Flores,1962-10-06,M,M,110000.00,4,Graduate Degree,Management,1,2,5-10 Miles
11178,334,Nathan,Johnson,1969-10-02,M,M,100000.00,3,Graduate Degree,Management,1,3,1-2 Miles
11179,300,Molly,Rodriguez,1984-03-11,M,F,120000.00,4,Graduate Degree,Management,1,3,5-10 Miles
11180,307,April,Anand,1988-12-09,M,F,160000.00,3,Bachelors,Management,1,4,0-1 Miles
11181,338,Devin,Martin,1975-12-29,M,M,170000.00,3,Graduate Degree,Management,1,2,0-1 Miles
11182,638,Stephanie,Torres,1981-05-31,S,F,70000.00,0,Bachelors,Management,1,2,10+ Miles
11183,368,Jasmine,Lee,1966-09-29,S,F,70000.00,0,Bachelors,Management,1,2,10+ Miles
11184,311,Meghan,Hernandez,1992-07-22,S,F,70000.00,0,Bachelors,Management,1,2,10+ Miles
11185,53,Ashley,Henderson,1981-01-20,S,F,70000.00,0,Bachelors,Management,1,2,10+ Miles
11186,352,Sarah,Price,1990-02-12,S,F,70000.00,0,Bachelors,Management,1,2,10+ Miles
11187,612,Jennifer,Cooper,1988-01-19,M,F,60000.00,0,Graduate Degree,Management,1,2,10+ Miles
11188,361,Catherine,Morris,1968-03-08,M,F,60000.00,0,Graduate Degree,Management,0,2,1-2 Miles
11189,609,Lawrence,Blanco,1965-04-18,S,M,60000.00,0,Graduate Degree,Management,1,2,10+ Miles
11190,300,Carson,Bryant,1981-09-09,M,M,70000.00,0,Bachelors,Management,1,2,10+ Miles
11191,310,Kristi,Perez,1969-02-22,S,F,70000.00,0,Bachelors,Management,1,3,10+ Miles
11192,637,James,Brown,1981-03-31,M,M,60000.00,0,Bachelors,Management,1,2,2-5 Miles
11193,553,Ian,Gray,1999-04-20,M,M,60000.00,0,Bachelors,Management,1,2,2-5 Miles
11194,352,Jacqueline,Price,1988-09-09,M,F,60000.00,0,Bachelors,Management,1,2,2-5 Miles
11195,635,Megan,Henderson,1984-04-28,M,F,60000.00,0,Bachelors,Management,1,3,10+ Miles
11196,536,Alfredo,Romero,1980-05-22,M,M,60000.00,0,Bachelors,Management,1,3,10+ Miles
11197,637,Andrea,Morris,1973-03-03,M,F,70000.00,1,Bachelors,Management,0,1,1-2 Miles
11198,368,Brooke,Sanders,1979-07-25,S,F,70000.00,1,Bachelors,Management,1,1,10+ Miles
11199,302,Jacqueline,Bennett,1995-11-07,M,F,70000.00,1,Bachelors,Management,1,1,10+ Miles
11200,69,Jason,Griffin,1963-04-04,M,M,70000.00,1,Bachelors,Management,1,1,1-2 Miles
11201,369,Amanda,Foster,1986-08-30,M,F,70000.00,1,Bachelors,Management,1,1,10+ Miles
11202,334,Alexia,Price,1991-09-06,M,F,80000.00,0,Bachelors,Management,0,2,1-2 Miles
11203,60,Luis,Diaz,1968-09-12,M,M,40000.00,1,High School,Professional,1,2,10+ Miles
11204,536,Destiny,Rivera,1996-03-24,M,F,40000.00,1,High School,Professional,1,2,2-5 Miles
11205,612,Abby,Fernandez,1986-09-07,M,F,40000.00,1,High School,Professional,1,2,10+ Miles
11206,626,Blake,Flores,1991-10-18,M,M,60000.00,1,Partial College,Professional,1,1,10+ Miles
11207,635,Danielle,Cox,1992-11-09,S,F,60000.00,1,Partial College,Professional,1,1,10+ Miles
11208,325,Maria,Reed,1990-05-09,M,F,60000.00,1,Bachelors,Management,1,0,10+ Miles
11209,336,Allison,Evans,1984-03-24,M,F,60000.00,1,Bachelors,Management,1,0,10+ Miles
11210,383,Edward,Wood,1985-04-02,M,M,70000.00,1,Partial College,Professional,1,2,10+ Miles
11211,50,Samantha,Russell,1996-07-20,M,F,40000.00,1,High School,Professional,1,2,2-5 Miles
11212,53,Chloe,Campbell,1997-10-26,M,F,40000.00,1,High School,Professional,1,2,2-5 Miles
11213,614,Stephanie,Murphy,1991-07-25,S,F,60000.00,1,Partial College,Professional,1,2,10+ Miles
11214,545,Charles,Miller,1965-04-29,S,M,60000.00,1,Partial College,Professional,1,2,10+ Miles
11215,62,Ana,Perry,1966-11-28,M,F,40000.00,1,Partial High School,Skilled Manual,1,2,10+ Miles
11216,547,Jasmine,Torres,1960-12-09,S,F,60000.00,1,Partial College,Professional,1,2,10+ Miles
11217,547,Natalie,Adams,1999-01-23,S,F,60000.00,1,Partial College,Professional,1,2,10+ Miles
11218,642,Olivia,Brown,1967-07-09,S,F,60000.00,1,Partial College,Professional,0,2,2-5 Miles
11219,553,Charles,Cook,1974-04-06,M,M,60000.00,1,High School,Professional,1,2,10+ Miles
11220,310,Erica,Huang,1969-02-27,M,F,60000.00,1,Partial College,Professional,1,1,10+ Miles
11221,334,Nathan,Perry,1983-08-15,M,M,70000.00,2,Partial College,Professional,1,1,1-2 Miles
11222,369,Alexandra,Rivera,1961-01-26,M,F,80000.00,1,Bachelors,Management,1,1,1-2 Miles
11223,52,Hailey,Patterson,1979-02-25,S,F,70000.00,1,High School,Professional,1,2,2-5 Miles
11224,612,Tiffany,Li,1968-01-17,S,F,70000.00,1,High School,Professional,1,2,10+ Miles
11225,635,Madison,Lee,1976-12-06,M,F,60000.00,1,Partial College,Professional,1,1,10+ Miles
11226,552,Sydney,Ross,1999-10-30,M,F,60000.00,1,Partial College,Professional,1,1,2-5 Miles
11227,310,Marshall,Chavez,1964-05-27,S,M,60000.00,1,Partial College,Professional,1,2,10+ Miles
11228,316,Ashley,Jones,1966-07-29,M,F,60000.00,1,Partial College,Professional,1,2,10+ Miles
11229,355,Adrian,Stewart,1978-08-21,S,M,70000.00,2,Partial College,Professional,1,1,10+ Miles
11230,369,Amber,Turner,1987-04-17,M,F,70000.00,2,Partial College,Professional,0,2,2-5 Miles
11231,611,Dennis,Zhang,1995-12-11,M,M,60000.00,1,High School,Professional,1,2,10+ Miles
11232,616,Hailey,Bryant,1982-12-19,M,F,60000.00,1,High School,Professional,0,2,2-5 Miles
11233,299,Todd,Li,1980-03-29,M,M,70000.00,2,Partial College,Professional,1,2,10+ Miles
11234,337,Anna,Griffin,1984-11-26,S,F,70000.00,2,Partial College,Professional,1,2,10+ Miles
11235,607,Angel,Stewart,1979-03-07,M,M,70000.00,2,Partial College,Professional,1,2,10+ Miles
11236,609,Jeremy,Butler,1973-01-01,S,M,70000.00,2,Partial College,Professional,1,2,10+ Miles
11237,161,Clarence,Anand,1991-09-03,S,M,130000.00,3,Bachelors,Management,0,4,0-1 Miles
11238,232,Mayra,Prasad,1974-04-26,S,F,130000.00,3,Bachelors,Management,0,4,0-1 Miles
11239,249,Latoya,Goel,1978-11-22,M,F,130000.00,4,Partial College,Professional,0,2,5-10 Miles
11240,273,Anne,Hernandez,1988-01-29,M,F,160000.00,3,Partial College,Professional,1,4,5-10 Miles
11241,211,Lisa,Cai,1981-04-21,S,F,100000.00,3,Partial College,Professional,1,4,5-10 Miles
11242,209,Larry,Munoz,1974-10-05,M,M,110000.00,4,Partial College,Professional,1,3,5-10 Miles
11243,237,Robin,Alvarez,1980-12-18,M,F,150000.00,3,Partial College,Professional,1,3,0-1 Miles
11244,267,Alexis,Coleman,1999-01-21,S,F,170000.00,3,Bachelors,Management,0,3,0-1 Miles
11245,132,Ricky,Vazquez,1968-11-15,M,M,120000.00,4,High School,Professional,0,4,5-10 Miles
11246,147,Latasha,Rubio,1986-08-04,M,F,120000.00,4,High School,Professional,0,4,5-10 Miles
11247,242,Claudia,Zhou,1982-09-09,S,F,130000.00,4,Partial College,Professional,0,3,0-1 Miles
11248,223,Tristan,Alexander,1976-05-29,M,M,110000.00,4,Partial College,Professional,1,4,10+ Miles
11249,178,Cindy,Patel,1970-11-01,M,F,130000.00,4,Partial College,Professional,1,3,0-1 Miles
11250,276,Shannon,Liu,1973-01-25,M,F,170000.00,4,High School,Professional,1,2,5-10 Miles
11251,50,Xavier,Long,1982-02-19,S,M,30000.00,0,High School,Professional,0,2,5-10 Miles
11252,335,Nicholas,Thompson,1998-07-16,S,M,90000.00,0,Graduate Degree,Management,1,1,2-5 Miles
